commit,configfile,builderrcode,patchcoverage,buildtime
2cf0e0a9da38ce2495490869ad08efbc2057ae66,defconfig,0,0.000000,236.26
2db04a68265519f6d3783f4cb99175fb6923aa2d,defconfig,0,0.000000,245.65
2dcb8e8782d8e4c38903bf37b1a24d3ffd193da7,defconfig,0,0.000000,277.46
2ea3b19792dbe32287b0c48f3ff7e866f61967c7,defconfig,0,1.000000,264.55
2eb27f79eacdb28de141010e8d92bb72c10b1215,defconfig,0,0.000000,243.84
2ebdd1df316636c2faf25a1780e12553adf09cf7,defconfig,0,0.000000,269.18
302f035141d3d4faee36f8543d34a32fb36a886d,defconfig,0,0.000000,242.85
3044a4f271d278858321675d367b37bcafca186c,defconfig,0,0.000000,260.33
31076af0cb001f698138c8158c798ec9f4a8bbae,defconfig,0,0.000000,254.21
31e914a2307a29dfde8027cffa70292341bd379d,defconfig,0,1.000000,266.80
324edddf2505a240a9226735dbbf3d5dc2b4a24d,defconfig,0,0.000000,269.66
32698c955295957d63f042f4bb30e9d613ca8b55,defconfig,0,0.000000,263.43
33a8573bdfeec5b746aedeea880733a4c7993158,defconfig,0,1.000000,282.09
33d18746fa514d21df9931a88d20530981f8a064,defconfig,0,0.000000,274.91
33e5c765bc1ea5e06ea7603637f14d727e6fcdf3,defconfig,0,1.000000,288.17
357e36e2106769950be404e958279770077c968f,defconfig,0,0.000000,295.46
35d02493dba1ae6386fac07072908717affc3ff8,defconfig,0,0.000000,305.71
3698807094ecae945436921325f5c309d1123f11,defconfig,0,0.000000,293.86
3766d0d83873d971707d33ccc323d9e6935f031d,defconfig,0,0.000000,279.98
376e3fdecb0dcae216c0ac559cff066f460bf47b,defconfig,0,0.000000,279.43
37d9e304acd903a445df8208b8a13d707902dea6,defconfig,0,0.000000,272.80
38212b2a8a6fc4c3a6fa99d7445b833bedc9a67c,defconfig,0,0.000000,250.33
38ba0bb291aacd92d8eaa4a1aa8b63ce4286e797,defconfig,0,0.000000,280.46
3a828845ae35626c2c8de4c46f5c602c25bd122d,defconfig,0,0.000000,236.56
3a9822d7bd623be9000cef8101ecf8479fa53f2c,defconfig,0,0.000000,233.47
3af9935499056a2af5b909b39cc0cbc358abaf7e,defconfig,0,0.000000,240.04
3cc1ae1fa70ab369e4645e38ce335a19438093ad,defconfig,0,0.000000,225.74
3d48cb74816d8468f0235ce9a867a2d7b9832693,defconfig,0,1.000000,237.78
3d4a0a2a46ab8ff8897dfd6324edee5e8184d2c5,defconfig,0,0.000000,230.99
3dcfbcce1b8749a6e62be11c41a797c98ecc4127,defconfig,0,0.000000,230.68
3ddd60268c24bcac9d744404cc277e9dc52fe6b6,defconfig,0,1.000000,219.64
3e067fd8503d6205aa0c1c8f48f6b209c592d19c,defconfig,0,0.000000,233.86
3e34e2ae29591f0fd84dca905d296da1e127160c,defconfig,0,0.000000,275.03
3e5014909b5661b3da59990d72a317a45ba3b284,defconfig,0,0.000000,248.23
