commit,run#,patchcoverage
00bfe02f479688a67a29019d1228f1470e26f014,9,1.000000
00bfe02f479688a67a29019d1228f1470e26f014,10,1.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,1,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,2,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,3,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,4,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,5,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,6,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,7,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,8,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,9,0.000000
010ddb813f3554cbbf8bd13b731452236a2c8017,10,0.000000
024f15e033a52660a045947ee56c7e842180fa81,1,1.000000
024f15e033a52660a045947ee56c7e842180fa81,2,1.000000
024f15e033a52660a045947ee56c7e842180fa81,3,1.000000
024f15e033a52660a045947ee56c7e842180fa81,4,1.000000
024f15e033a52660a045947ee56c7e842180fa81,5,1.000000
024f15e033a52660a045947ee56c7e842180fa81,6,1.000000
024f15e033a52660a045947ee56c7e842180fa81,7,1.000000
024f15e033a52660a045947ee56c7e842180fa81,8,1.000000
024f15e033a52660a045947ee56c7e842180fa81,9,1.000000
024f15e033a52660a045947ee56c7e842180fa81,10,1.000000
0258cb19c77deb755747b97f690931193ced0c55,1,0.000000
0258cb19c77deb755747b97f690931193ced0c55,2,0.000000
0258cb19c77deb755747b97f690931193ced0c55,3,0.000000
0258cb19c77deb755747b97f690931193ced0c55,4,0.000000
0258cb19c77deb755747b97f690931193ced0c55,5,0.000000
0258cb19c77deb755747b97f690931193ced0c55,6,0.000000
0258cb19c77deb755747b97f690931193ced0c55,7,0.000000
0258cb19c77deb755747b97f690931193ced0c55,8,0.000000
0258cb19c77deb755747b97f690931193ced0c55,9,0.000000
0258cb19c77deb755747b97f690931193ced0c55,10,0.000000
03248addadf1a5ef0a03cbcd5ec905b49adb9658,1,0.632653
03248addadf1a5ef0a03cbcd5ec905b49adb9658,2,0.877551
03248addadf1a5ef0a03cbcd5ec905b49adb9658,3,0.877551
03248addadf1a5ef0a03cbcd5ec905b49adb9658,4,0.877551
03248addadf1a5ef0a03cbcd5ec905b49adb9658,5,0.877551
03248addadf1a5ef0a03cbcd5ec905b49adb9658,6,0.959184
03248addadf1a5ef0a03cbcd5ec905b49adb9658,7,0.959184
03248addadf1a5ef0a03cbcd5ec905b49adb9658,8,1.000000
03248addadf1a5ef0a03cbcd5ec905b49adb9658,9,1.000000
03248addadf1a5ef0a03cbcd5ec905b49adb9658,10,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,1,0.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,2,0.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,3,0.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,4,0.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,5,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,6,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,7,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,8,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,9,1.000000
03508eea538557b4f61bf1df2e842d252cb9a6e6,10,1.000000
036d8903f03b662bbdce5e32525bd2931b14c420,1,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,2,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,3,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,4,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,5,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,6,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,7,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,8,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,9,0.000000
036d8903f03b662bbdce5e32525bd2931b14c420,10,0.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,1,0.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,2,0.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,3,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,4,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,5,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,6,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,7,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,8,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,9,1.000000
052d03a043afebb8e26ec17de52e8cdc8b217ef9,10,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,1,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,2,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,3,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,4,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,5,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,6,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,7,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,8,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,9,1.000000
07bf9431b1590d1cd7a8d62075d0b50b073f0495,10,1.000000
087451f372bf76d971184caa258807b7c35aac8f,1,0.000000
087451f372bf76d971184caa258807b7c35aac8f,2,0.000000
087451f372bf76d971184caa258807b7c35aac8f,3,1.000000
087451f372bf76d971184caa258807b7c35aac8f,4,1.000000
087451f372bf76d971184caa258807b7c35aac8f,5,1.000000
087451f372bf76d971184caa258807b7c35aac8f,6,1.000000
087451f372bf76d971184caa258807b7c35aac8f,7,1.000000
087451f372bf76d971184caa258807b7c35aac8f,8,1.000000
087451f372bf76d971184caa258807b7c35aac8f,9,1.000000
087451f372bf76d971184caa258807b7c35aac8f,10,1.000000
08d1ecd98a8fe653d24644f072a87549e8503447,1,0.000000
08d1ecd98a8fe653d24644f072a87549e8503447,2,0.000000
08d1ecd98a8fe653d24644f072a87549e8503447,3,0.000000
08d1ecd98a8fe653d24644f072a87549e8503447,4,0.000000
08d1ecd98a8fe653d24644f072a87549e8503447,5,0.000000
08d1ecd98a8fe653d24644f072a87549e8503447,6,1.000000
08d1ecd98a8fe653d24644f072a87549e8503447,7,1.000000
08d1ecd98a8fe653d24644f072a87549e8503447,8,1.000000
08d1ecd98a8fe653d24644f072a87549e8503447,9,1.000000
08d1ecd98a8fe653d24644f072a87549e8503447,10,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,1,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,2,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,3,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,4,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,5,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,6,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,7,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,8,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,9,1.000000
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,10,1.000000
