file,arch,label,build target (valid if label is build_dir)
drivers/block/ataflop.c,x86_64,cant_build,
drivers/block/ataflop.c,arm,cant_build,
drivers/block/floppy.c,arm,builds,
drivers/block/swim.c,x86_64,cant_build,
drivers/block/swim.c,arm,cant_build,
drivers/block/swim3.c,x86_64,cant_build,
drivers/block/swim3.c,arm,cant_build,
drivers/bus/ti-sysc.c,x86_64,cant_build,
drivers/cdrom/gdrom.c,x86_64,cant_build,
drivers/cdrom/gdrom.c,arm,cant_build,
drivers/char/hpet.c,arm,cant_build,
drivers/char/hw_random/bcm2835-rng.c,x86_64,cant_build,
drivers/char/hw_random/intel-rng.c,arm,cant_build,
drivers/char/hw_random/omap-rng.c,x86_64,cant_build,
drivers/char/hw_random/pic32-rng.c,x86_64,cant_build,
drivers/char/hw_random/pic32-rng.c,arm,cant_build,
drivers/char/ipmi/ipmi_si_intf.c,arm,builds,
drivers/char/mwave/tp3780i.c,arm,cant_build,
drivers/char/tpm/eventlog/acpi.c,arm,cant_build,
drivers/clk/at91/sama7g5.c,x86_64,cant_build,
drivers/clk/at91/sama7g5.c,arm,cant_build,
drivers/clk/clk-ast2600.c,x86_64,cant_build,
drivers/clk/imx/clk-imx25.c,x86_64,cant_build,
drivers/clk/imx/clk-imx27.c,x86_64,cant_build,
drivers/clk/imx/clk-imx35.c,x86_64,cant_build,
drivers/clk/imx/clk-imx5.c,x86_64,cant_build,
drivers/clk/imx/clk-imx6q.c,x86_64,cant_build,
drivers/clk/imx/clk-imx6sl.c,x86_64,cant_build,
drivers/clk/imx/clk-imx6sll.c,x86_64,cant_build,
drivers/clk/imx/clk-imx6sx.c,x86_64,cant_build,
drivers/clk/imx/clk-imx7d.c,x86_64,cant_build,
drivers/clk/imx/clk-imx7ulp.c,x86_64,cant_build,
drivers/clk/imx/clk-lpcg-scu.c,x86_64,cant_build,
drivers/clk/imx/clk-scu.c,x86_64,cant_build,
drivers/clk/keystone/sci-clk.c,x86_64,cant_build,
drivers/clk/mvebu/armada-37xx-periph.c,x86_64,cant_build,
drivers/clk/mvebu/armada-37xx-periph.c,arm,cant_build,
drivers/clk/rockchip/clk-cpu.c,x86_64,cant_build,
drivers/clk/rockchip/clk-px30.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3036.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3128.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3188.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3228.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3288.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3308.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3328.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3368.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3399.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rk3568.c,x86_64,cant_build,
drivers/clk/rockchip/clk-rv1108.c,x86_64,cant_build,
drivers/clk/socfpga/clk-agilex.c,x86_64,cant_build,
drivers/clk/socfpga/clk-agilex.c,arm,cant_build,
drivers/clk/socfpga/clk-gate-a10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-gate-s10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-gate-s10.c,arm,cant_build,
drivers/clk/socfpga/clk-gate.c,x86_64,cant_build,
drivers/clk/socfpga/clk-periph-a10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-periph-s10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-periph-s10.c,arm,cant_build,
drivers/clk/socfpga/clk-periph.c,x86_64,cant_build,
drivers/clk/socfpga/clk-pll-a10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-pll-s10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-pll-s10.c,arm,cant_build,
drivers/clk/socfpga/clk-pll.c,x86_64,cant_build,
drivers/clk/socfpga/clk-s10.c,x86_64,cant_build,
drivers/clk/socfpga/clk-s10.c,arm,cant_build,
drivers/clk/sunxi/clk-sun6i-ar100.c,x86_64,cant_build,
